职位代码,职位名称,部门名称,职位层级,招录人数,学历,专业要求,考试科目,是否限2026届,年龄,联系电话,备注
100160201021,综合管理岗3,南昌县银三角街道办事处,县（市）区,1,本科及以上学历,研究生专业：金融学（020204），国际贸易学（020206），金融（0251），国际商务（0254），保险（0255），资产评估（0256），设计学（0872），旅游管理（120203），公共管理学（1204），公共管理（1252），旅游管理（1254），设计（1357），设计学（1370），设计学（1403）；本科专业：金融学类（0203），经济与贸易类（0204），公共管理类（1204），旅游管理类（1209），设计学类（1305）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0791-85712096,
100110201024,综合管理岗1	,江西新建经济开发区管理委员会,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714）；本科专业：经济学类（0201），经济与贸易类（0204）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0791-83703915,
300030201013,综合管理岗1,萍乡市安源区高坑镇人民政府,乡镇,1,本科及以上学历,研究生专业：应用经济学（0202），国际商务（0254），地质学（0709），计算机科学与技术（0775），智能科学与技术（0788），计算机科学与技术（0812），地质资源与地质工程（0818），软件工程（0835），网络空间安全（0839），电子信息（0854），地质工程（085703），智能科学与技术（0876），智能科学与技术（1405）；本科专业：经济与贸易类（0204），地质学类（0709），计算机类（0809）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0799-6661597,
300070201027,经济业务岗 ,江西莲花工业园区管理委员会,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714）；本科专业：经济学类（0201），经济与贸易类（0204）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0799-7229206,
400020101003,综合岗1,九江市农业农村局,设区市,1,研究生,研究生专业：区域经济学（020202），产业经济学（020205），国际贸易学（020206），统计学（020208），统计学（0270），统计学（0714），农林经济管理（1203）,"《申论》（省市综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0792-8211580,
400020101007,综合岗2,九江市农业农村局,设区市,1,研究生,研究生专业：区域经济学（020202），产业经济学（020205），国际贸易学（020206），统计学（020208），统计学（0270），统计学（0714），农林经济管理（1203）,"《申论》（省市综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0792-8211580,
400020101035,招商引资岗1,九江市商务局,设区市,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714）；本科专业：经济学类（0201），经济与贸易类（0204）,"《申论》（省市综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0792-8211580,
400040602045,财务岗,武宁县东林乡人民政府,乡镇,1,本科及以上学历,研究生专业：国民经济学（020201），财政学（020203），金融学（020204），国际贸易学（020206），金融（0251），税务（0253），国际商务（0254），保险（0255），资产评估（0256），会计学（120201），会计（1253），审计（1257）；本科专业：财政学类（0202），金融学类（0203），经济与贸易类（0204），会计学（120203K），财务管理（120204），审计学（120207），资产评估（120208），财务会计教育（120213T），内部审计（120218T）,"《申论》（县乡综合管理类）,《行政职业能力测验》,财经管理专业笔试",否,年龄38周岁以下（博士研究生43周岁以下）,0792-2761125,
400040602016,财务业务岗,武宁县卫生健康委员会,县（市）区,1,本科及以上学历,研究生专业：国民经济学（020201），财政学（020203），金融学（020204），国际贸易学（020206），金融（0251），税务（0253），国际商务（0254），保险（0255），资产评估（0256），会计学（120201），会计（1253），审计（1257）；本科专业：财政学类（0202），金融学类（0203），经济与贸易类（0204），会计学（120203K），财务管理（120204），审计学（120207），资产评估（120208），财务会计教育（120213T），内部审计（120218T）,"《申论》（县乡综合管理类）,《行政职业能力测验》,财经管理专业笔试",是,年龄38周岁以下（博士研究生43周岁以下）,0792-2761125,
400040602036,会计岗,武宁县横路乡人民政府,乡镇,1,本科及以上学历,研究生专业：国民经济学（020201），财政学（020203），金融学（020204），国际贸易学（020206），金融（0251），税务（0253），国际商务（0254），保险（0255），资产评估（0256），会计学（120201），会计（1253），审计（1257）；本科专业：财政学类（0202），金融学类（0203），经济与贸易类（0204），会计学（120203K），财务管理（120204），审计学（120207），资产评估（120208），财务会计教育（120213T），内部审计（120218T）,"《申论》（县乡综合管理类）,《行政职业能力测验》,财经管理专业笔试",是,年龄38周岁以下（博士研究生43周岁以下）,0792-2761125,
